publication_number,title,abstract,claims,ipc_classification,publication_date,assignee,legal_status
RU2839600C1,Roasting apparatus,"FIELD: food industry.SUBSTANCE: invention relates to coffee industry. Disclosed is apparatus (10) for roasting coffee beans, comprising housing (4), roasting chamber (1) having lower opening (11) and upper opening (12), air supply working member (2), configured to actuate air inside the roasting chamber through the lower opening of said chamber, heater (3) located under the lower opening of the chamber, collector (6) of smoke and particles configured to collect smoke and particles from upper opening (12) of the roasting chamber, wherein roasting chamber (1) is attached to housing (4) with possibility of removal, wherein lower opening (11) of roasting chamber is combined with opening (41) for outlet of hot air in housing, and upper opening (12) of the roasting chamber is combined with collector (6) of smoke and particles, when the roasting chamber is attached to the housing, system (5) for fixing the chamber for attachment of the roasting chamber to the housing with possibility of removal.EFFECT: invention makes it possible to provide an apparatus for frying with an improved system for fixing the roasting chamber.4 cl, 9 dwg","1. Аппарат (10) для обжаривания кофейных зерен, содержащий:
корпус (4),
обжарочную камеру (1), имеющую нижнее отверстие (11) и верхнее отверстие (12);
рабочий орган (2) подачи воздуха, выполненный с возможностью приведения в движение воздуха внутри обжарочной камеры через нижнее отверстие упомянутой камеры;
нагреватель (3), расположенный под нижним отверстием камеры, причем упомянутый нагреватель выполнен с возможностью нагрева воздуха, приводимого в движение внутри обжарочной камеры;
причем рабочий орган подачи воздуха и нагреватель расположены внутри корпуса (4), и при этом корпус содержит отверстие (41) для выпуска горячего воздуха, выполненное с возможностью обеспечения прохождения горячего воздуха из корпуса в нижнее отверстие (11) камеры;
коллектор (6) дыма и частиц, выполненный с возможностью сбора дыма и частиц из верхнего отверстия (12) обжарочной камеры;
причем обжарочная камера (1) прикреплена к корпусу (4) с возможностью извлечения, при этом нижнее отверстие (11) обжарочной камеры объединено с отверстием (41) для выпуска горячего воздуха в корпусе, а верхнее отверстие (12) обжарочной камеры объединено с коллектором (6) дыма и частиц, когда обжарочная камера прикреплена к корпусу;
систему (5) фиксации камеры для крепления обжарочной камеры к корпусу с возможностью извлечения, причем упомянутая система (5) фиксации камеры содержит:
нижнее устройство (51) для соединения нижнего отверстия (11) камеры с отверстием (41) для выпуска горячего воздуха в корпусе, причем упомянутое нижнее устройство выполнено с возможностью приема нижней части (1a) камеры и удержания камеры;
верхнее крепежное устройство (52) для соединения верхнего отверстия (12) камеры с коллектором (6) дыма и частиц, причем упомянутое верхнее крепежное устройство содержит:
соединительный канал (521), выполненный с возможностью перемещения и с возможностью соединения верхнего отверстия (12) камеры с коллектором (6) дыма и частиц, причем положение соединительного канала (521), выполненного с возмож",A23N12/08,20250506,СОСЬЕТЕ ДЕ ПРОДЮИ НЕСТЛЕ С.А.,['Active']
AU2024270313A1,Methods and composition for palatable pet foods,"Pet food compositions and methods of making such pet food compositions are disclosed including utilizing a palatant selected from the group consisting of dimethyl sulphide, isoamyl alcohol, 2-methyloxolan-3-one, 2,5-dimethylpyrazine, 2-ethyl-3,5-dimethylpyrazine, furfural, furfuryl alcohol, and combinations thereof, wherein the composition has at least one combination of compounds as provided in Table 10 in ratios as provided in Table 10.","<div class=""indep-clm"" num=""1""><seg-con>1. A pet food composition </seg-con><seg-trans>comprising </seg-trans><seg-refi>a palatant selected from the group consisting of dimethyl sulphide, isoamyl alcohol, 2-methyloxolan-3-one, 2,5-dimethylpyrazine, 2-ethyl-3,5-dimethylpyrazine, furfural, furfuryl alcohol, and combinations thereof, wherein the composition has at least one combination of compounds as provided in Table 10 in ratios as provided in Table 10:</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>Table 10</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>Combination Compounds Ratio 1 Dimethyl sulphide to 2-Acetylthiophene >3.5 Isoamyl alcohol to Tetrahydrothiophen-3-one >5 2 Dimethyl sulphide to 2-Acetylthiophene >3.5 2-methyloxolan-3-one to Tetrahydrothiophen-3-one >5 3 Isoamyl alcohol to Tetrahydrothiophen-3-one >5 2,5-Dimethylpyrazine to 2-Heptanone >1.5 4 2-methyloxolan-3-one to Tetrahydrothiophen-3-one >5 2,5-Dimethylpyrazine to 2-Heptanone >1.5 5 Isoamyl alcohol to Tetrahydrothiophen-3-one >5 2,5-Dimethylpyrazine to 2-Heptanone >1.5 6 2,5-Dimethylpyrazine to 2-Heptanone >1.5 2,5-Dimethylpyrazine to Tetrahydrothiophen-3-one >25 7 Dimethyl sulphide to 2-Acetylthiophene >3.5 2,5-Dimethylpyrazine to Tetrahydrothiophen-3-one >25 8 2,5-Dimethylpyrazine to 2-Heptanone >1.5 2,5-Dimethylpyrazine to 2-Acetylthiophene >6 9 Dimethyl sulphide to 2-Acetylthiophene >3.5 2,5-Dimethylpyrazine to 2-Acetylthiophene >6 10 2,5-Dimethylpyrazine to 2-Acetylthiophene >6 2-Ethyl-3,5-dimethylpyrazine to Dimethyl trisulphide >0.15 11 2,5-Dimethylpyrazine to Tetrahydrothiophen-3-one >25 2-Ethyl-3,5-dimethylpyrazine to Dimethyl trisulphide >0.15</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>12 2,5-Dimethylpyrazine to 2-Heptanone >1.5 2-Ethyl-3,5-dimethylpyrazine to Dimethyl trisulphide >0.15 13 2-methyloxolan-3-one to Tetrahydrothiophen-3-one >5 2-Ethyl-3,5-dimethylpyrazine to Dimethyl trisulphide >0.15 14 Isoamyl alcohol to Tetrahydrothiophen-3-one >5 2-","A23K20/105, A23K20/121, A23K20/137, A23K50/48",20250911,SOCIETE DES PRODUITS NESTLE SA,['Pending']
US12478209B2,Beverage preparation device with thermally optimised architecture,,"<div class=""indep-clm"" num=""1""><seg-main>1. A capsule processing machine for preparing a beverage from a capsule having </seg-main><seg-clauses>a body containing a flavouring ingredient, by passing water into the capsule to be mixed with the flavouring ingredient in the capsule, the capsule processing machine comprising:</seg-clauses>
<seg-clauses class=""seg-enter"">a beverage processing unit having:</seg-clauses>
<seg-clauses class=""seg-enter"">a holder delimiting a receiving space for receiving the capsule;</seg-clauses>
<seg-clauses class=""seg-enter"">a cover for covering the holder, the cover and the holder being relatively movable between:</seg-clauses>
<seg-clauses class=""seg-enter"">an open position for placing the capsule into the receiving space and/or removing the capsule from the receiving space; and</seg-clauses>
<seg-clauses class=""seg-enter"">a closed position for preparing the beverage from the capsule in the receiving space;</seg-clauses>
<seg-clauses class=""seg-enter"">a beverage outlet arrangement extending between the holder and the cover and/or through the cover, the beverage outlet arrangement configured to deliver the beverage from the processing unit; and</seg-clauses>
<seg-clauses class=""seg-enter"">a water inlet extending through the cover and configured to guide the water into the receiving space, wherein the water is mixed with the flavouring ingredient in the capsule to form the beverage in the receiving space; and</seg-clauses>
<seg-clauses class=""seg-enter"">a thermal conditioner, wherein a body of the thermal conditioner forms a conditioner cavity that defines or contains at least a part of the cover,</seg-clauses>
<seg-clauses class=""seg-enter"">wherein the body of the thermal conditioner forms a beverage collecting surface, and wherein the machine further comprises a discharge arrangement configured to guide the beverage from the beverage collecting surface to a dispensing area configured to receive a user-receptacle for collecting the bevera","A47J31/36, A47J31/06, A47J31/22, A47J31/54",20251125,SOCIETE DES PRODUITS NESTLE S.A.,['Active']
MX374200B,Method and device for producing a fiber composite material,,,B29B15/12,20250305,SOCIETE DES PRODUITS NESTLE S.A.,['Active']
WO2025093461A1,Method of determining the health status of a dog,"The present invention provides a method for determining a biological age, mortality risk and/or probability of a healthy lifespan of a dog; said method comprising: a) determining a biological age, mortality risk and/or probability of a healthy lifespan of the dog using the level of one or more biomarker(s) in one or more samples obtained from the dog, wherein the one or more biomarker(s) is selected from white blood cell count, serum albumin, serum alkaline phosphatase, serum creatine kinase, haemoglobin, haematocrit, mean corpuscular haemoglobin, serum glucose, mean red cell volume, serum globulin, serum calcium, platelet count, and/or red blood cell count; and b) determining a biological age, mortality risk and/or probability of a healthy lifespan for the dog using a DNA methylation profile from the dog.","CLAIMS
<div class=""indep-clm"" num=""1""><seg-main>1. A method for determining a biological age, mortality risk and/or probability of a healthy lifespan of a dog; said method comprising using </seg-main><seg-clauses>(i) the level of one or more biomarker(s) in one or more samples obtained from the dog, and </seg-clauses><seg-clauses>(ii) a DNA methylation profile from the dog to determine a biological age, mortality risk and/or probability of a healthy lifespan of the dog; wherein the one or more biomarkers are selected from white blood cell count, serum albumin, serum alkaline phosphatase, serum creatine kinase, haemoglobin, haematocrit, mean corpuscular haemoglobin, serum glucose, mean red cell volume, serum globulin, serum calcium, platelet count, and/or red blood cell count.</seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. The method according to claim 1 ; wherein </seg-main><seg-clauses><seg-main>said method comprises: </seg-main><seg-clauses>a) determining a biological age, mortality risk and/or probability of a healthy lifespan of the dog using the level of one or more biomarker(s) in one or more samples obtained from the dog, wherein the one or more biomarker(s) is selected from white blood cell count, serum albumin, serum alkaline phosphatase, serum creatine kinase, haemoglobin, haematocrit, mean corpuscular haemoglobin, serum glucose, mean red cell volume, serum globulin, serum calcium, platelet count, and/or red blood cell count; and </seg-clauses><seg-clauses>b) determining a biological age, mortality risk and/or probability of a healthy lifespan for the dog using a DNA methylation profile from the dog.</seg-clauses></seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""2""><seg-main>3. The method according to claim 2 wherein </seg-main><seg-clauses>the biological age, mortality risk and/or probability of a healthy lifespan of the dog determined in step a) and the biological age, mortality risk and/or probability of a healthy lifes","C12Q1/6883, G01N33/50, G16H50/30",20250508,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['PCT designated period']
TW202515797A,Capsule for the preparation of a beverage,"A biodegradable and/or compostable capsule for use with a beverage preparation machine for preparing a beverage and/or foodstuff thereof is disclosed. The capsule comprises a cup-shaped body and a closing membrane for closing the cup-shaped body, both elements defining a closed cavity for a beverage and/or foodstuff ingredient, preferably roast and ground coffee, and a liner or a coating having barrier function, providing barrier function to the cup-shaped body. The cup-shaped body is made of cellulose-based material, preferably molded pulp-based material and comprises a bottom wall, a tubular lateral side wall, an annular flange connected to the lateral wall for the closing membrane to seal thereon, and an outwardly extending rim portion connected to the annular flange. The annular flange is made of cellulose-based material and comprises a first portion in which the cellulose-based material has a porosity comprised between","<div class=""indep-clm"" num=""1""><seg-con>1. 一種與一飲料製備機器(10)一起使用以製備其飲料及/或食物之膠囊，該膠囊係可生物降解及/或可堆肥的，且</seg-con><seg-trans>包括： </seg-trans><seg-refi>一杯形本體(1)及用於閉合該杯形本體(1)之一閉合膜(2)，該杯形本體(1)及該閉合膜(2)界定用於固持一飲料及/或食物成分之一閉合空腔，該飲料及/或食物成分較佳地為烘焙及研磨咖啡；及一本體襯墊(20)或具有障壁功能之一塗層，其為該杯形本體(1)提供障壁功能； 該杯形本體(1)由纖維素基材料製成，較佳地由紙漿基材料製成，且包括一底壁(4)、一管狀側壁(5)、連接至該側壁(5)以供該閉合膜(2)密封於其上之一環形凸緣(3)，及連接至該環形凸緣(3)之一向外延伸之邊緣部分(6)， 其特徵在於 該環形凸緣(3)由纖維素基材料製成，且包括一第一部分(3A)，其中該纖維素基材料具有包括在介於30%與70%之間、較佳地介於50%與70%之間之一孔隙度， 該環形凸緣(3)之該第一部分(3A)與該飲料製備機器(10)之一膠囊圍封構件(9)之一邊緣(8)協作，用於改進在飲料製備期間之密封性。</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1"">2. 如請求項1之膠囊，其中該環形凸緣(3)之該第一部分(3A)自該側壁(5)延伸，並且與該膠囊之該側壁(5)及該環形凸緣(3)兩者一體成形。</div>
<div class=""dep-clm"" num=""3"" parent=""1,2"">3. 如請求項1或2中任一項之膠囊，其中該第一部分(3A)在該環形凸緣(3)上延伸包括在介於0.4 mm與0.9 mm之間、較佳地介於0.5 mm與0.75 mm之間之一徑向距離(d1)。</div>
<div class=""dep-clm"" num=""4"" parent=""1,2,3"">4. 如前述請求項中任一項之膠囊，其中該第一部分(3A)具有包括在介於0.9 mm與1.5 mm之間之一厚度，該厚度大於該側壁(5)之厚度。</div>
<div class=""dep-clm"" num=""5"" parent=""1,2,3,4"">5. 如前述請求項中任一項之膠囊，其中該第一部分(3A)具有包括在介於0.2 g/cm3與1 g/cm3之間、較佳地介於0.4 g/cm3與1 g/cm3之間、更佳地介於0.6 g/cm3與1 g/cm3之間、最佳地介於0.8 g/cm3與1 g/cm3之間之該纖維素基材料之一密度。</div>
<div class=""dep-clm"" num=""6"" parent=""1,2,3,4,5"">6. 如前述請求項中任一項之膠囊，其中該環形凸緣(3)進一步包括鄰近該第一部分(3A)並自該第一部分向外延伸之一第二部分(3B)，該第二部分(3B)具有包括在介於0.4 mm與0.8 mm之間、較佳地介於0.5 mm與0.7 mm之間之一厚度，且自該第一部分(3A)開始延伸包括在介於0.5 mm與0.9 mm之間之一徑向距離(d2)。</div>
<div class=""dep-clm"" num=""7"" parent=""6"">7. 如請求項6之膠囊，其中該第二部分(3B)具有小於40%之所包括的該纖維素基材料之一孔隙度。</div>
<div class=""dep-clm"" num=""8"" parent=""1,2,3,4,5,6,7"">8. 如前述請求項中任一項之膠囊，其中該邊緣部分(6)由纖維素基材料與該環形凸緣(3)一體地製成，且包括一捲曲或彎曲的端部部分(6A)，該捲曲或彎曲的端部部分包括一處理區域(6B)，其中該纖維素基材料具有小於40%、較佳地介於0%至25%之間之一孔隙度。</div>
<div class=""dep-clm"" num=""9"" parent=""8"">9. 如請求項8之膠囊，其中該處理區域(6B)係一壓縮區域，較佳地處於一玻璃態。</div>
<div class=""dep-clm"" num=""10"" parent=""6,7,8,9"">10. 如請求項6或7中任一項與如請求項8或9中任一項組合之膠囊，其中該處理區域(6B)部分地或完全地延伸至該環形凸緣(3)之該第二部分(3B)上。</div>
<div class=""dep-clm"" num=""11"" parent=""1,2,3,4,5,6,7,8,9,10"">11. 如前述請求項中任一項之膠囊，其中該杯形本體(1)由包括至少50%、較佳地範圍自80%至100%之重量百分比之纖維素纖維之纖維素紙漿製成。</div>
<div class=""de","B65D85/804, A23P10/30, B65D65/46",20250416,瑞士商雀巢製品股份有限公司,['Pending']
CN119799025A,Paper-plastic container and preparation method thereof,"The invention provides a paper-plastic container and a preparation method thereof. The paper-plastic container provided by the embodiment of the invention comprises the following components in percentage by mass: 55-65% of sugarcane fiber and 35-45% of wood fiber. According to the paper-plastic container disclosed by the embodiment of the invention, the raw materials are renewable, and the paper-plastic container has good degradability, does not pollute the environment and has relatively high mechanical strength.","<div class=""indep-clm"" num=""1""><seg-con>1.一种纸塑容器，</seg-con><seg-trans>其特征在于，</seg-trans><seg-refi>所述纸塑容器按质量分数计包括：55％至65％的甘蔗纤维及35％至45％的木纤维。</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2.根据权利要求1所述的纸塑容器，</seg-con><seg-trans>其特征在于，</seg-trans><seg-refi>所述纸塑容器包括：</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-refi>纸塑杯体，所述纸塑杯体具有一端开口的容置腔，所述容置腔用于容纳目标物；</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-refi>纸塑外沿，所述纸塑外沿环绕所述纸塑杯体的所述开口的外周设置，且所述纸塑外沿与所述纸塑杯体弯折相连；以及</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-refi>纸塑凸台，所述纸塑凸台设置于所述纸塑外沿背离所述纸塑杯体的一侧且环绕所述纸塑外沿的外周设置；</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-refi>其中，所述纸塑杯体、所述纸塑外沿、所述纸塑凸台为一体结构，所述纸塑凸台的厚度大于所述纸塑杯体的厚度，所述纸塑杯体的厚度大于所述纸塑外沿的厚度。</seg-refi></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-con>3.根据权利要求1所述的纸塑容器，</seg-con><seg-trans>其特征在于，</seg-trans><seg-refi>所述纸塑容器承放100℃的液体时，5000rad/min至8000rad/min的转速进行旋转，可耐受60s至180s的旋转。</seg-refi></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-con>4.根据权利要求1所述的纸塑容器，</seg-con><seg-trans>其特征在于，</seg-trans><seg-refi>所述纸塑容器采用凹模吸浆，并经定型、热压后制得。</seg-refi></div>
<div class=""indep-clm"" num=""5""><seg-con>5.一种纸塑容器的制备方法，</seg-con><seg-trans>其特征在于，</seg-trans><seg-comp>包括：</seg-comp></div>
<div class=""indep-clm"" num=""5""><seg-comp>提供吸浆模及纸塑浆料，其中，所述纸塑浆料包括甘蔗纤维及木纤维，所述纸塑浆料中，所述甘蔗纤维与所述木纤维的质量比的范围为55:45至65:35；</seg-comp></div>
<div class=""indep-clm"" num=""5""><seg-comp>将所述吸浆模置于所述纸塑浆料中进行吸浆，进行定型后，得到纸塑坯件；以及</seg-comp></div>
<div class=""indep-clm"" num=""5""><seg-comp>对所述纸塑坯件进行热压，得到所述纸塑容器。</seg-comp></div>
<div class=""dep-clm"" num=""6"" parent=""5""><seg-con>6.根据权利要求5所述的纸塑容器的制备方法，</seg-con><seg-trans>其特征在于，</seg-trans><seg-refi>所述吸浆模为凹模，所述吸浆模具有凹模腔。</seg-refi></div>
<div class=""dep-clm"" num=""7"" parent=""6""><seg-con>7.根据权利要求6所述的纸塑容器的制备方法，</seg-con><seg-trans>其特征在于，</seg-trans><seg-refi>所述吸浆模包括吸浆模体、第一网面及第二网面；所述吸浆模体具有所述凹模腔，所述第一网面及所述第二网面依次层叠设置在围合成所述凹模腔的侧壁的表面，所述吸浆模体具有位于所述凹模腔的且间隔设置的多个第一通孔，所述第一网面具有间隔设置的多个第一网孔，所述第二网面具有间隔设置的多个第二网孔，所述第一通孔的孔径大于所述第一网孔的孔径，所述第一网孔的","C08L97/02, A47G19/22, A47G19/03, D21J5/00, D21H11/00",20250411,雀巢产品有限公司,['Pending']
WO2025132325A1,Method for preparing milk based liquid,"The invention concerns a method for producing a milk-based liquid in a beverage preparation apparatus, said apparatus comprising : - at least one mixing chamber configured for producing a liquid by receiving and mixing a dose of soluble powder with water and by dispensing the reconstituted liquid, wherein the method comprises the steps of : - producing a first part of the milk based liquid by supplying the mixing chamber with a dose of soluble dairy milk powder and water so as to reconstitute a dairy milk and dispensing said first part made of dairy milk, and - producing a second part of the milk based liquid by supplying the mixing chamber with a dose of soluble plant-based milk powder and water so as to reconstitute a plant based milk and dispensing the second part made of plant-based milk, wherein the first and the second parts of the milk based liquid are mixed together to form the final milk based liquid.","CLAIMS
<div class=""indep-clm"" num=""1""><seg-main>1. Method for producing a milk based liquid in a beverage preparation apparatus (100, 101 ), said apparatus comprising :</seg-main>
<seg-clauses>- at least one supply of soluble plant-based milk powder or concentrate,</seg-clauses>
<seg-clauses>- at least one supply of soluble dairy milk powder or concentrate,</seg-clauses>
<seg-clauses>- a water supply system,</seg-clauses>
<seg-clauses><seg-main>- at least one mixing chamber (1 ) configured for producing a liquid by receiving and mixing a dose of soluble powder or concentrate with water and by dispensing the reconstituted liquid, wherein the method comprises the steps of :</seg-main>
<seg-clauses>- producing a first part of the milk based liquid by supplying the mixing chamber with a dose of soluble dairy milk powder or concentrate and water so as to reconstitute a dairy milk and dispensing said first part made of dairy milk, and</seg-clauses>
<seg-clauses>- producing a second part of the milk based liquid by supplying the mixing chamber with a dose of soluble plant-based milk powder or concentrate and water so as to reconstitute a plant based milk and dispensing the second part made of plant-based milk, wherein the first and the second parts of the milk based liquid are mixed together to form the final milk based liquid.</seg-clauses></seg-clauses></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-main>2. Method according to Claim 1 , wherein </seg-main><seg-clauses>the first part of the milk based liquid represents 30 to 70 % in volume of the final milk based liquid, preferably 50 to 70 % in volume.</seg-clauses></div>
<div class=""dep-clm"" num=""3"" parent=""1,2""><seg-main>3. Method according to Claim 1 or 2, wherein :</seg-main>
<seg-clauses>- in a first step, the first part of the milk based liquid is produced and dispensed in a container (10), and</seg-clauses>
<seg-clauses>- in a second step, the second part of the milk based liquid is produced and dispensed in t",A47J31/40,20250626,SOCIETE DES PRODUITS NESTLE S.A.,['PCT designated period']
US20250326564A1,"Actuator nozzle for aerosol packaging, and methods of making and using such actuator nozzles and aerosol packagings","An actuator nozzle has a lower portion comprising a base configured to connect to a container, and the base includes a lower orifice. The actuator nozzle also has an upper portion including a tapered section on one side of the upper portion, the tapered section tapers inward as the tapered section extends upward from the lower portion, the upper portion further having a substantially vertical section on an opposite side of the upper portion from the tapered section. The actuator nozzle also has an upper orifice in fluid communication with the lower orifice by an interior channel of the actuator nozzle, the upper orifice angled downward from a top of the tapered section of the upper portion to a top of the substantially vertical section of the upper portion.","<div class=""indep-clm"" num=""1""><seg-con>1. An actuator nozzle </seg-con><seg-trans>comprising:</seg-trans></div>
<div class=""indep-clm"" num=""1""><seg-refi>a lower portion comprising a base configured to connect to a container, the base comprising a lower orifice;</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>an upper portion comprising a tapered section on one side of the upper portion, the tapered section tapers inward as the tapered section extends upward from the lower portion, the upper portion further comprising a substantially vertical section on an opposite side of the upper portion from the tapered section; and</seg-refi></div>
<div class=""indep-clm"" num=""1""><seg-refi>an upper orifice in fluid communication with the lower orifice by an interior channel of the actuator nozzle, the upper orifice angled downward from a top of the tapered section of the upper portion to a top of the substantially vertical section of the upper portion.</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2. The actuator nozzle of claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the upper orifice has a shape that is oval or semi-circle and has a maximum width at or adjacent to the top of the tapered section.</seg-refi></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-con>3. The actuator nozzle of claim 1, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the lower portion of the actuator nozzle is substantially symmetrical throughout an entirety of the height of the lower portion.</seg-refi></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-con>4. The actuator nozzle of claim 1, </seg-con><seg-trans>comprising </seg-trans><seg-refi>one or more pressure points configured to actuate and/or permit actuation of a valve on which the actuator nozzle is mounted.</seg-refi></div>
<div class=""dep-clm"" num=""5"" parent=""4""><seg-con>5. The actuator nozzle of claim 4, </seg-con><seg-trans>wherein </seg-trans><seg-refi>the one or more pressure points are po","B65D83/28, B65D83/16",20251023,SOCIETE DES PRODUITS NESTLE S.A.,['Pending']
RU2849974C2,"Device for preparing a beverage, system containing such a device, method of preparation in such a device and use of capsules for preparing a beverage","FIELD: devices for preparing beverages.SUBSTANCE: group of inventions relates to a device for preparing beverages, to a system containing such a device, to a method of preparation in such a device, and to the use of a capsule for preparing beverages. The device is designed to prepare a beverage from a flavouring ingredient supplied inside a capsule in a processing chamber by mixing it with water and centrifuging them around a processing axis. The device has a manipulation system comprising a first ingredient manipulator and a second ingredient manipulator, which are designed to be movable relative to each other from a capsule transfer configuration to a capsule processing configuration. The manipulation system has a beverage outlet(s) and water supply fitting(s), wherein the outlet(s) and/or fitting(s) are connected to a capsule opening device having an opening edge and an opening direction for the capsule, along which the opening edge and the capsule move relative to each other to open the capsule (5b) with the opening edge. The opening device limits a channel for a fluid medium located in the opening direction behind the opening edge.EFFECT: improved control of the extraction process.35 cl, 14 dwg","1. Устройство (1) для приготовления напитка (4) из вкусоароматического ингредиента (5a), подаваемого внутри капсулы (5b) в полость (5) обработки, путем смешивания упомянутого ингредиента (5a) с водой (4’) в упомянутой капсуле (5b) и центробежного приведения в движение такого ингредиента (5a) и упомянутой воды (4’) вокруг оси (30’) обработки с образованием упомянутого напитка (4), причем устройство (1) содержит:
- вращающуюся систему (10, 20) манипулирования для ингредиента для удержания упомянутой капсулы (5b) и вращения упомянутого вкусоароматического ингредиента (5a) и воды во время центрифугирования вокруг оси (30’) обработки, причем система (10, 20) манипулирования для ингредиента имеет по меньшей мере одно выходное отверстие (25) для напитка и по меньшей мере один штуцер (24) подвода воды для подачи упомянутой воды (4’) к упомянутому ингредиенту (5a), при этом система (10, 20) имеет первый манипулятор (10) для ингредиента и второй манипулятор (20) для ингредиента, которые выполнены с возможностью перемещения относительно друг друга из
конфигурации передачи ингредиента для приема упомянутого ингредиента (5a) внутри упомянутой капсулы (5b) первым и вторым манипуляторами (10, 20) для ингредиента и/или высвобождения упомянутой капсулы (5b) из первого и второго манипуляторов (10, 20) для ингредиента в
конфигурацию обработки ингредиента для центрифугирования упомянутого ингредиента (5a) и воды (4’) внутри упомянутой капсулы (5b) путем вращения вокруг оси (30’) обработки,
и наоборот; и
- раму и/или корпус (40) устройства, которые неподвижны, когда система (10, 20) манипулирования для ингредиента вращается для центрифугирования, и которые поддерживает систему (10, 20) манипулирования для ингредиента,
причем одно или более из выходного(ых) отверстий (25) для напитка и штуцера(ов) (24) подвода воды связаны с одним или более устройствами (24’, 25’) для открывания капсул;
при этом по меньшей мере одно открывающее устройство (24’, 25’) упомянутого(ых) устройства (устройств)","A47J31/22, A47J31/36",20251101,СОСЬЕТЕ ДЕ ПРОДЮИ НЕСТЛЕ С.А.,['Active']
AU2025203141A1,Methods and compositions for increasing energy expenditure using cinnamaldehyde,"Compositions comprise an amount of cinnamaldehyde that is orally tolerable, thus avoiding an unpleasant mouth feeling, and also tolerable in the gastrointestinal tract. The amount of cinnamaldehyde is effective to increase at least one of energy expenditure, sympathetic nervous system activity, or fat oxidation, relative to a composition lacking cinnamaldehyde but otherwise identical. The composition comprising cinnamaldehyde can be used in a method to support weight management or promote weight loss, a method for preventing obesity or overweight, and a method for treating obesity or overweight. In an embodiment, the composition comprising cinnamaldehyde is administered to a human. The composition comprising cinnamaldehyde may be a medicament, a food product or a supplement to a food product.","<div class=""indep-clm"" num=""1""><seg-con>1. A method for weight maintenance </seg-con><seg-trans>comprising </seg-trans><seg-refi>administering to a mammal in need thereof a composition comprising cinnamaldehyde.</seg-refi></div>
<div class=""dep-clm"" num=""2"" parent=""1""><seg-con>2. The method of Claim 1 </seg-con><seg-trans>wherein </seg-trans><seg-refi>the cinnamaldehyde is administered in an amount of about 1.25 mg/kg body weight per day.</seg-refi></div>
<div class=""dep-clm"" num=""3"" parent=""1""><seg-con>3. The method of Claim 1 </seg-con><seg-trans>wherein </seg-trans><seg-refi>the cinnamaldehyde is present in the composition in a concentration of 17.48 ppm to 6191.0 ppm.</seg-refi></div>
<div class=""dep-clm"" num=""4"" parent=""1""><seg-con>4. The method of Claim 1 </seg-con><seg-trans>wherein </seg-trans><seg-refi>the composition comprising cinnamaldehyde is administered once daily.</seg-refi></div>
<div class=""dep-clm"" num=""5"" parent=""1""><seg-con>5. The method of Claim 1 </seg-con><seg-trans>wherein </seg-trans><seg-refi>the composition comprises cinnamon essential oil extract that provides at least a portion of the cinnamaldehyde.</seg-refi></div>
<div class=""dep-clm"" num=""6"" parent=""1""><seg-con>6. The method of Claim 1 </seg-con><seg-trans>wherein </seg-trans><seg-refi>at least a portion of the cinnamaldehyde is selected from the group consisting of isolated cinnamaldehyde and synthesized c innamaldehyde.</seg-refi></div>
<div class=""indep-clm"" num=""7""><seg-con>7.      A method for promoting weight loss </seg-con><seg-trans>comprising </seg-trans><seg-refi>administering to a mammal</seg-refi></div>
<div class=""indep-clm"" num=""7""><seg-refi>in need thereof a composition comprising cinnamaldehyde.</seg-refi></div>
<div class=""indep-clm"" num=""8""><seg-con>8. A method for preventing obesity or overweight </seg-con><seg-trans>comprising </seg-trans><seg-refi>administering to a mammal at risk thereof a composition comprising cinnamaldehyde.</seg-refi></div>
<div class=""inde","A61K31/11, A61K36/54, A61P3/04, A61P43/00",20250522,SOCIÉTÉ DES PRODUITS NESTLÉ S.A.,['Pending']
